time,S1,S2,S3
0.000,0,0,0
1.000,1,2,2
2.000,1,2,2
3.000,2,0,2
4.000,2,0,2
5.000,2,0,2
6.000,1,1,1
7.000,1,1,3
8.000,2,1,3
9.000,3,1,2
10.000,1,1,1
11.000,1,1,1
12.000,1,1,1
13.000,2,1,1
14.000,2,1,1
15.000,3,2,1
16.000,2,1,1
17.000,1,1,1
18.000,1,2,1
19.000,0,2,1
20.000,0,2,1
21.000,1,1,1
22.000,2,0,0
23.000,2,0,0
24.000,4,0,0
25.000,3,0,0
26.000,4,1,0
27.000,3,1,0
28.000,3,1,0
29.000,3,1,0
30.000,3,1,0
31.000,2,1,1
32.000,2,0,0
33.000,2,0,0
34.000,2,0,0
35.000,2,0,0
36.000,1,0,0
37.000,1,0,0
38.000,1,0,0
39.000,3,0,0
40.000,3,0,0
41.000,2,0,0
42.000,3,0,0
43.000,3,0,0
44.000,1,1,1
45.000,1,0,1
46.000,1,0,1
47.000,0,0,2
48.000,0,0,2
49.000,0,1,1
50.000,1,0,1
51.000,1,0,1
52.000,2,0,1
53.000,3,0,1
54.000,3,0,1
55.000,1,0,0
56.000,1,0,0
57.000,2,0,0
58.000,3,0,0
59.000,2,1,0
60.000,4,1,0
61.000,4,1,0
62.000,5,1,0
63.000,3,0,0
64.000,3,0,0
65.000,4,0,0
66.000,4,1,1
67.000,2,3,0
68.000,3,2,0
69.000,1,2,0
70.000,1,2,0
71.000,2,2,0
72.000,2,2,1
73.000,3,2,1
74.000,2,1,1
75.000,2,1,1
76.000,2,0,2
77.000,3,0,2
78.000,2,0,2
79.000,2,1,2
80.000,4,1,2
81.000,2,1,1
82.000,3,1,1
83.000,2,1,1
84.000,2,0,1
85.000,2,0,1
86.000,1,1,1
87.000,1,2,2
88.000,3,2,2
89.000,1,3,1
90.000,0,2,1
91.000,0,2,1
92.000,0,2,1
93.000,0,1,0
94.000,0,1,0
95.000,0,1,0
96.000,0,0,0
97.000,0,0,0
98.000,1,0,0
99.000,1,1,0
100.000,1,1,0
101.000,2,1,0
102.000,3,1,0
103.000,3,1,0
104.000,1,1,0
